timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673274050531,661,trendyolSearch,200,OK,Thread Group 1-1,text,true,,67353,533,6,6,https://www.trendyol.com/sr?q=kozmetik&qt=kozmetik&st=kozmetik&os=1,324,0,0
1673274050636,602,trendyolChoose,200,OK,Thread Group 1-21,text,true,,58315,654,6,6,https://www.trendyol.com/hatun-atila/kadin-renkli-cesitli-ayakabali-oversize-gomlek-p-302030007?boutiqueId=61&merchantId=588160&boutiqueId=614790&merchantId=968,358,0,0
1673274050306,1215,trendyolMainPage,200,OK,Thread Group 1-42,text,true,,61953,435,5,5,https://www.trendyol.com/,536,0,0
1673274050797,735,trendyolChoose,200,OK,Thread Group 1-8,text,true,,58141,669,5,5,https://www.trendyol.com/mjkorean/ayak-soyucu-corap-olu-derileri-soyan-ayak-corabi-peeling-maskesi-p-171271682?boutiqueId=61&merchantId=595994&boutiqueId=614790&merchantId=968,380,0,0
1673274050760,845,trendyolChoose,200,OK,Thread Group 1-45,text,true,,62903,687,4,4,https://www.trendyol.com/samsung/galaxy-tab-s6-lite-sm-p610-64gb-10-4-gul-kurusu-tablet-samsung-turkiye-garantili-p-39604827?boutiqueId=618568&merchantId=476801&boutiqueId=614790&merchantId=968,393,0,0
1673274050944,745,trendyolSearch,200,OK,Thread Group 1-35,text,true,,64164,539,3,3,https://www.trendyol.com/sr?q=bilgisayar&qt=bilgisayar&st=bilgisayar&os=1,399,0,0
1673274051205,517,trendyolChoose,200,OK,Thread Group 1-1,text,true,,58555,656,3,3,https://www.trendyol.com/dr-tayyaroz/papaya-ozlu-gozenek-sikilastirici-peeling-serumu-p-449122769?boutiqueId=61&merchantId=508788&boutiqueId=614790&merchantId=968,264,0,0
1673274051696,475,trendyolChoose,200,OK,Thread Group 1-35,text,true,,62367,694,2,2,https://www.trendyol.com/zeiron/galaxy-i5-10400f-16gb-ddr4-512gb-m-2-ssd-gtx1660-super-24-165hz-oyuncu-masaustu-bilgisayari-p-363636199?boutiqueId=61&merchantId=127037&boutiqueId=614790&merchantId=968,254,0,0
1673274051529,787,trendyolSearch,200,OK,Thread Group 1-42,text,true,,59978,539,1,1,https://www.trendyol.com/sr?q=evtekstili&qt=evtekstili&st=evtekstili&os=1,435,0,0
1673274052325,527,trendyolChoose,200,OK,Thread Group 1-42,text,true,,59860,657,1,1,https://www.trendyol.com/ozdilek/princess-time-disney-lisansli-cocuk-havlu-bornoz-seti-p-235931556?boutiqueId=61&merchantId=120594&boutiqueId=614790&merchantId=968,293,0,0
